# RA Dec Z BPTCLASS SM Dn4000 SPECSFR SM_weight
144.636960 17.031297 0.028042 2.000000 11.368811 2.091916 -12.720210 1.219376e-09
46.378520 -0.404998 0.028096 -1.000000 11.047959 1.908005 -12.422100 2.605756e-09
212.698540 35.913490 0.028104 4.000000 11.152563 1.987147 -12.051830 2.030220e-09
184.948520 30.339090 0.028175 -1.000000 11.176182 2.010177 -12.417740 1.919960e-09
136.209010 13.561896 0.028300 4.000000 11.056247 1.915988 -12.541950 2.555166e-09
178.722830 28.262408 0.028325 4.000000 11.031150 1.759713 -11.802250 2.713428e-09
137.666350 18.696592 0.028379 4.000000 11.079007 1.891408 -12.356840 2.419184e-09
145.729790 28.980769 0.028390 4.000000 11.087726 1.801564 -10.914350 2.369489e-09
195.074700 28.202400 0.028444 2.000000 11.150377 1.919607 -12.104900 2.041392e-09
215.766290 18.279177 0.028471 2.000000 11.021227 1.973028 -12.501060 2.779230e-09
132.986130 16.944812 0.028517 -1.000000 11.105859 2.017220 -12.340660 2.269536e-09
139.016340 17.628369 0.028624 -1.000000 11.308516 2.016923 -12.519590 1.404540e-09
197.079840 45.361717 0.028688 3.000000 11.142049 1.648884 -10.959220 2.081982e-09
178.197290 29.329021 0.028695 4.000000 11.019564 1.940369 -12.606920 2.790203e-09
226.169090 12.633451 0.028875 3.000000 11.024822 1.424905 -10.334330 2.755055e-09
145.604020 4.283194 0.028877 2.000000 11.083220 1.982806 -12.475230 2.395156e-09
224.214460 38.756460 0.028904 5.000000 11.084505 1.911373 -12.439320 2.388209e-09
133.406530 39.135821 0.028921 4.000000 11.006603 1.869990 -11.867940 2.877576e-09
219.084950 5.330974 0.028986 4.000000 11.081413 1.979696 -12.604260 2.406129e-09
136.233890 17.455140 0.028991 2.000000 11.080389 1.922978 -12.224270 2.412142e-09
198.156640 47.063285 0.029000 -1.000000 11.264891 2.009022 -12.587640 1.556180e-09
132.898540 47.557688 0.029057 3.000000 11.106285 1.682449 -10.905380 2.266765e-09
221.590610 32.780222 0.029069 -1.000000 11.178258 2.007428 -12.408890 1.910408e-09
224.150670 9.369748 0.029077 -1.000000 11.107203 1.946016 -12.450000 2.262156e-09
202.317560 53.081964 0.029086 4.000000 11.152302 1.641776 -11.704820 2.031811e-09
222.111480 34.998059 0.029420 5.000000 11.112173 1.860628 -12.490430 2.235675e-09
196.482890 53.659267 0.029439 -1.000000 11.130088 2.074937 -12.401440 2.142373e-09
228.248960 3.155240 0.029492 -1.000000 11.088934 1.952402 -12.530930 2.362642e-09
192.748000 47.671541 0.029528 4.000000 11.052421 1.668112 -10.754760 2.578095e-09
217.321380 20.654537 0.029534 4.000000 11.043710 1.898102 -11.780900 2.632690e-09
170.625280 24.279267 0.029635 3.000000 11.038948 1.966256 -12.528420 2.663442e-09
244.665050 15.558380 0.029723 4.000000 11.120534 1.889551 -12.224760 2.190993e-09
226.472020 39.522187 0.029761 3.000000 11.108050 1.779210 -11.824230 2.257560e-09
167.996400 3.135805 0.029805 2.000000 11.139221 1.968450 -12.472450 2.096031e-09
244.793910 14.133649 0.029819 3.000000 11.077331 1.568169 -10.674500 2.429292e-09
147.461080 12.695224 0.029846 3.000000 11.039241 1.583085 -11.321360 2.661147e-09
153.503120 14.499693 0.029876 2.000000 11.033403 1.986562 -12.622450 2.698183e-09
173.553110 34.312493 0.029907 5.000000 11.032527 1.933872 -12.030360 2.704033e-09
249.135700 39.027878 0.029986 5.000000 11.136226 1.944597 -12.034830 2.111047e-09
139.538730 16.198110 0.030011 -1.000000 11.247473 2.046848 -12.534300 1.621772e-09
230.532610 13.928224 0.030094 -1.000000 11.005300 1.900493 -12.106250 2.886515e-09
219.817450 20.043695 0.030088 4.000000 11.173224 1.999945 -12.642020 1.933292e-09
330.816650 0.571085 0.030089 4.000000 11.044161 1.370689 -10.627250 2.630431e-09
135.084430 52.494225 0.030118 4.000000 11.307960 1.928775 -12.483330 1.406472e-09
186.251970 28.558598 0.030153 5.000000 11.238629 1.882665 -11.737750 1.655676e-09
